Time,xAcc,yAcc,zAcc,latitude,longitude,alt
112280047,0.7,0.11,-0.25,0,0,0.6
112290051,1.24,0.62,-0.21,0,0,0.59
112300056,0,0.29,-0.19,0,0,0.59
112310060,-0.63,-0.18,-0.04,0,0,0.57
112323373,-0.1,-0.63,-0.07,0,0,0.56
112337912,0.12,0.39,-0.13,0,0,0.59
112347914,-0.68,0.99,-0.33,0,0,0.61
112361988,-0.63,0.38,-0.26,0,0,0.59
112376044,-0.05,-0.28,-0.14,0,0,0.53
112386848,0.15,-0.2,-0.16,0,0,0.53
112398541,0.09,-0.43,-0.03,0,0,0.53
112408544,0.58,0.18,-0.31,0,0,0.54
112419795,0.06,0.72,-0.29,0,0,0.52
112429799,-0.12,-0.02,-0.21,0,0,0.51
112439815,0.13,0,0.03,0,0,0.54
112449819,0.08,-0.37,-0.07,0,0,0.52
112463229,0.28,-0.17,-0.15,0,0,0.53
112479993,-0.14,0.49,-0.18,0,0,0.53
112491058,0.22,-0.11,-0.2,0,0,0.52
112501060,0.27,0.19,-0.15,0,0,0.55
112511063,-0.02,0.22,-0.05,0,0,0.51
112521065,-0.38,-0.29,-0.05,0,0,0.52
112533137,0.45,-0.16,-0.15,0,0,0.53
112545243,-0.07,0.57,-0.16,0,0,0.52
112556722,-0.25,0.09,-0.01,0,0,0.54
112567456,-0.18,-0.34,-0.21,0,0,0.52
112581299,-0.01,-0.62,-0.13,0,0,0.52
112591303,0.11,-0.31,-0.11,0,0,0.54
112601313,-0.3,-0.24,-0.11,0,0,0.52
112611316,0.18,-0.48,0.07,0,0,0.5
112622466,-0.71,-0.17,-0.03,0,0,0.51
112633114,-1.16,0.46,0.07,0,0,0.53
112645628,-0.68,0.49,-0.33,0,0,0.54
112655832,2.22,-0.03,-0.61,0,0,0.53
112669321,-0.41,-0.51,0.26,0,0,0.53
112679326,-0.95,1.34,-0.51,0,0,0.51
112690856,1.73,-0.67,-0.98,0,0,0.52
112700861,-0.25,-0.4,0.21,0,0,0.51
112713391,-1.66,1.53,0.65,0,0,0.51
112724551,-0.85,-0.75,-0.15,0,0,0.51
112739194,2.28,-1.5,-1.62,0,0,0.52
112749198,-2.48,1.6,0.67,0,0,0.52
112759926,-2.43,-0.29,-0.61,0,0,0.54
112769931,3.1,0.51,0.63,0,0,0.53
112779934,-4.34,-0.6,-0.97,0,0,0.49
112790223,0.62,0.48,0.6,0,0,0.51
112800226,2.17,-1.62,-0.37,0,0,0.52
112810229,-3.05,3.05,0.85,0,0,0.49
112821386,-1.58,-2.44,-1.41,0,0,0.51
112831389,1.74,0.72,0.47,0,0,0.49
112844851,-0.77,-2.39,-1.2,0,0,0.52
112857052,-2.82,2.5,0.64,0,0,0.55
112868230,-2.38,0.4,-0.67,0,0,0.51
112883470,2,-1,0.31,0,0,0.51
112898000,-1.98,1.44,-0.12,0,0,0.51
112908946,-2.22,0.65,-0.25,0,0,0.52
112921880,-0.2,-0.29,-0.29,0,0,0.49
112931884,1.27,-0.59,0.08,0,0,0.55
112943479,0.48,-0.42,-0.03,0,0,0.51
112953483,-0.13,0.01,0.13,0,0,0.52
112966407,-1,0.85,0.02,0,0,0.52
112978419,-0.71,1.73,-0.47,0,0,0.54
112992100,1.23,2.14,-1.12,0,0,0.52
113002104,1.93,-1.32,0.31,0,0,0.51
113013931,-2.4,-1.22,1.11,0,0,0.53
113024462,-2.34,2.06,-0.2,0,0,0.51
113038269,-2.78,-1.16,1.64,0,0,0.53
113049470,-2.43,2.53,-1.28,0,0,0.52
113062171,3.54,-2.78,-2.76,0,0,0.54
113072175,-2.55,-1.96,1.81,0,0,0.52
113082179,3.16,-4.23,-0.7,0,0,0.52
113092181,-4.08,2.43,1.12,0,0,0.54
113103823,3.77,-3.32,-2.72,0,0,0.53
113113827,-3.79,0.04,0.65,0,0,0.54
113126701,-2.5,0.78,-0.14,0,0,0.52
113138766,-5.07,-0.04,-1.49,0,0,0.55
113149724,-5.07,-0.04,-1.49,0,0,0.53
113159728,1.89,-3.39,-7.49,0,0,0.55
113169749,1.49,0.75,-7.71,0,0,0.52
113180183,-3.17,0.83,-2.92,0,0,0.54
113192337,3.28,-3.18,-5.72,0,0,0.51
113202339,-2.17,1.09,-4.07,0,0,0.52
113213192,2.02,-2.79,-4.98,0,0,0.53
113223195,1.77,-2.03,-9.19,0,0,0.52
113233197,-1.71,1.02,-4.4,0,0,0.49
113243201,0.57,-1.39,-5.59,0,0,0.52
113253204,1.9,-1.78,-7.96,0,0,0.53
113263206,0.19,0.34,-8.88,0,0,0.53
113275311,-1.94,0.86,-5.73,0,0,0.5
113285529,-0.94,-0.75,-5.48,0,0,0.53
113300393,1.29,-2,-6.42,0,0,0.53
113313490,-2.25,1.13,-8.14,0,0,0.54
113323494,-2.4,1.19,-5.46,0,0,0.53
113333505,-1,-1.9,-5.36,0,0,0.52
113343508,0.62,-1.97,-5.83,0,0,0.53
113353511,0,0.62,-9.27,0,0,0.52
113363514,-1.15,1.85,-8.52,0,0,0.52
113375225,-2.1,2.07,-6.67,0,0,0.51
113385229,-1.63,1.28,-5.41,0,0,0.51
113399172,1.36,-1.04,-7.59,0,0,0.51
113412556,-0.63,1.64,-8.66,4713.42,849.07,0.53
113426065,-2.08,2.31,-7.08,4713.42,849.07,0.55
113436363,0.75,-0.76,-5.69,4713.42,849.07,0.52
113448879,1.48,-0.4,-7.37,4713.42,849.07,0.54
113458882,1.3,-0.36,-8.36,4713.42,849.07,0.52
113469263,0.45,0.17,-8.58,4713.42,849.07,0.55
113480487,-0.97,1.94,-5.7,4713.42,849.07,0.53
113495502,1.24,-1.08,-5.74,4713.42,849.07,0.55
113505505,1.98,-1.77,-7.21,4713.42,849.07,0.56
113518706,-0.2,1.07,-8.37,4713.42,849.07,0.58
113534642,-0.69,-0.51,-5.39,4713.42,849.07,0.57
113544647,2.3,-2.34,-5.47,4713.42,849.07,0.55
113556473,1.34,0.8,-8.72,4713.42,849.07,0.56
113566477,-1.04,1.99,-7.75,4713.42,849.07,0.56
113580103,1.71,-1.91,-5.1,4713.42,849.07,0.57
113591341,1.73,0.18,-9.01,4713.42,849.07,0.57
113603867,-0.86,1.95,-7.58,4713.42,849.07,0.58
113613871,-0.61,0.56,-5.03,4713.42,849.07,0.57
113623874,1.15,-0.35,-5.32,4713.42,849.07,0.57
113633878,2.38,-0.22,-8.59,4713.42,849.07,0.56
113644148,0.15,1.33,-7.66,4713.42,849.07,0.56
113654152,-0.45,1.35,-5.8,4713.42,849.07,0.55
113664427,1.31,-1.12,-4.66,4713.42,849.07,0.57
113674430,2.1,0.47,-8.27,4713.42,849.07,0.56
113686491,-0.41,1.62,-7.28,4713.42,849.07,0.6
113696493,-0.38,0.81,-4.93,4713.42,849.07,0.56
113709518,1.86,-1.38,-4.35,4713.42,849.07,0.58
113722464,-0.96,0.71,-7.65,4713.42,849.07,0.59
113732468,-0.92,1.6,-4.84,4713.42,849.07,0.58
113742472,1.66,-1.65,-4.47,4713.42,849.07,0.59
113752595,1.66,-1.65,-4.47,4713.42,849.07,0.59
113762599,2.38,-0.46,-8.05,4713.42,849.07,0.6
113775027,-0.03,1.02,-4.51,4713.42,849.07,0.61
113785031,2.7,-1.79,-4.22,4713.42,849.07,0.6
113795035,0.11,0.73,-7.35,4713.42,849.07,0.61
113805038,-0.44,0.8,-4.38,4713.42,849.07,0.61
113815042,1.62,-1.54,-3.29,4713.42,849.07,0.61
113825045,1.22,-0.18,-7.32,4713.42,849.07,0.61
113835048,-1.55,0.44,-4.19,4713.42,849.07,0.63
113845052,1.01,-1.15,-3.78,4713.42,849.07,0.64
113855056,3.14,-2.26,-5.5,4713.42,849.07,0.64
113866342,-0.72,0.85,-5.31,4713.42,849.07,0.64
113876347,-0.58,-0.54,-2.62,4713.42,849.07,0.65
113887125,3.35,-3.23,-5.16,4713.42,849.07,0.66
113897129,2.01,-1.51,-6.86,4713.42,849.07,0.66
113907233,0.89,-1.84,-2.24,4713.42,849.07,0.67
113917237,4.06,-1.47,-7.33,4713.42,849.07,0.69
113927240,-0.1,2.14,-7.15,4713.42,849.07,0.69
113937401,-0.71,1.32,-2.45,4713.42,849.07,0.69
113947405,2.32,0.61,-7.55,4713.42,849.07,0.7
113957409,-1.29,1.84,-3.99,4713.42,849.07,0.71
113967412,2.12,-2.31,-3.81,4713.42,849.07,0.71
113977646,2.72,-1.33,-7.46,4713.42,849.07,0.73
113987649,2.82,-1.9,-2.14,4713.42,849.07,0.74
113998693,2.26,-1.61,-8.71,4713.42,849.07,0.74
114008697,-1.28,3.13,-4.93,4713.42,849.07,0.74
114018701,1.75,-2.89,-4.31,4713.42,849.07,0.75
114029143,-2.32,2.57,-3.67,4713.42,849.07,0.78
114044334,0.38,2.03,-8.96,4713.42,849.07,0.8
114054337,0.38,2.03,-8.96,4713.42,849.07,0.81
114066527,-1.88,2.87,-7.88,4713.42,849.07,0.81
114076532,-1.75,-1.16,-2.82,4713.42,849.07,0.82
114087094,4.27,-0.49,-9.17,4713.42,849.07,0.81
114097099,-2.3,4.01,-4.16,4713.42,849.07,0.82
114107101,-1.39,4.02,-5.87,4713.42,849.07,0.84
114117105,1.38,-3.7,-3.51,4713.42,849.07,0.85
114127121,-2.61,0.56,-6.92,4713.42,849.07,0.85
114137126,-1.9,-2.16,-2.24,4713.42,849.07,0.85
114147129,-2.01,-1.85,-1.65,4713.42,849.07,0.85
114157132,-0.05,-1.34,-8.11,4713.42,849.07,0.84
114167226,-4.27,0.52,-0.58,4713.42,849.07,0.86
