Time,xAcc,yAcc,zAcc,latitude,longitude,alt
99680126,0.01,0,-0.16,0,0,0.59
99690131,0.02,0.01,-0.19,0,0,0.59
99702391,0.03,0,-0.16,0,0,0.61
99712770,0.04,0,-0.14,0,0,0.61
99724022,0.04,-0.02,-0.15,0,0,0.6
99735970,0.04,0,-0.17,0,0,0.6
99749751,0,-0.03,-0.18,0,0,0.6
99759753,0.03,0,-0.17,0,0,0.61
99772358,0.04,0.02,-0.19,0,0,0.51
99782397,0.07,-0.01,-0.16,0,0,0.51
99795025,0.04,0,-0.18,0,0,0.5
99806640,0.04,0,-0.18,0,0,0.5
99817165,0.01,0.02,-0.15,0,0,0.5
99827484,0.08,0,-0.18,0,0,0.51
99839793,0.05,-0.01,-0.18,0,0,0.52
99849795,0,0,-0.18,0,0,0.52
99861300,0.03,0,-0.19,0,0,0.52
99871304,0.05,-0.02,-0.19,0,0,0.51
99881307,0.02,-0.01,-0.2,0,0,0.5
99891692,0.03,0,-0.15,0,0,0.51
99901695,0.06,-0.01,-0.18,0,0,0.5
99912521,0.03,-0.01,-0.19,0,0,0.49
99922525,0.01,-0.01,-0.17,0,0,0.49
99934317,0.02,0.01,-0.15,0,0,0.51
99946190,0,0.02,-0.17,0,0,0.51
99958972,0.01,0,-0.19,0,0,0.51
99968975,0.05,-0.02,-0.17,0,0,0.52
99981553,0.03,0.02,-0.17,0,0,0.5
99991556,0.02,0.01,-0.19,0,0,0.51
100004454,0.03,-0.03,-0.19,0,0,0.49
100016424,0.03,0,-0.17,0,0,0.48
100031072,0.03,0,-0.15,0,0,0.49
100043693,0.04,0,-0.19,0,0,0.48
100054199,0.02,0,-0.18,0,0,0.47
100067558,0.04,-0.01,-0.16,0,0,0.49
100078060,0.05,0,-0.16,0,0,0.49
100090150,0.02,0.01,-0.18,0,0,0.48
100100155,0.02,0,-0.15,0,0,0.49
100110159,0.04,0.01,-0.19,0,0,0.49
100120162,0.01,0,-0.17,0,0,0.48
100130167,0.04,-0.02,-0.17,0,0,0.5
100141443,0.05,0,-0.18,0,0,0.49
100151445,0.02,0,-0.18,0,0,0.49
100164314,0.02,-0.01,-0.17,0,0,0.5
100174317,0.06,-0.01,-0.17,0,0,0.51
100189060,0,0,-0.2,0,0,0.49
100199063,0.04,-0.01,-0.18,0,0,0.49
100209067,0.03,0,-0.15,0,0,0.49
100220098,0,-0.01,-0.18,0,0,0.49
100230101,0.03,0.01,-0.16,0,0,0.49
100240106,0.03,0,-0.17,0,0,0.49
100250110,0.02,0.01,-0.15,0,0,0.48
100260115,0.03,-0.01,-0.19,0,0,0.48
100270119,0.06,-0.01,-0.17,0,0,0.48
100280123,0.03,-0.01,-0.14,0,0,0.49
100290126,0.01,-0.01,-0.2,0,0,0.49
100300666,0.01,0,-0.2,0,0,0.5
100310669,0.03,-0.01,-0.13,0,0,0.49
100320673,0.01,0,-0.16,0,0,0.5
100330677,0.02,0,-0.17,0,0,0.5
100341813,0.04,0,-0.18,0,0,0.51
100351815,0.04,0,-0.18,0,0,0.5
100363263,0.03,0,-0.2,0,0,0.49
100373268,0.06,-0.01,-0.18,0,0,0.51
100385515,0.02,0,-0.16,0,0,0.49
100397659,0.03,0,-0.19,0,0,0.48
100410958,0.03,0,-0.18,0,0,0.49
100420961,0.01,0,-0.16,0,0,0.51
100432053,0.01,0,-0.14,0,0,0.51
100442056,0.03,-0.01,-0.18,0,0,0.5
100452060,0.05,0,-0.18,0,0,0.52
100462063,0.03,0,-0.16,0,0,0.52
100472067,0.02,0,-0.17,0,0,0.52
100482069,0.02,0.01,-0.18,0,0,0.51
100492072,0.01,0,-0.18,0,0,0.5
100502076,0.02,0,-0.16,0,0,0.52
100512081,0.02,0,-0.18,0,0,0.53
100522085,0.01,0,-0.16,0,0,0.49
100532090,0.03,-0.02,-0.16,0,0,0.52
100542093,0.06,-0.01,-0.19,0,0,0.51
100552098,0.05,0,-0.17,0,0,0.5
100565094,0.03,-0.01,-0.16,0,0,0.52
100578100,0.03,0.01,-0.19,0,0,0.48
100593618,0.02,-0.01,-0.17,0,0,0.5
100604184,0.01,0,-0.18,0,0,0.5
100614187,0.06,-0.01,-0.19,0,0,0.5
100624191,0.02,0,-0.19,0,0,0.49
100634194,0.01,0,-0.17,0,0,0.5
100644198,0.04,-0.01,-0.19,0,0,0.51
100654201,0.03,-0.02,-0.14,0,0,0.5
100664205,0.03,0,-0.16,0,0,0.5
100674210,0.02,0,-0.17,0,0,0.49
100685254,0.03,-0.01,-0.18,0,0,0.5
100695654,0.01,0,-0.18,0,0,0.49
100707325,0.01,-0.01,-0.2,0,0,0.49
100719068,0.03,0.01,-0.16,0,0,0.49
100731447,0.01,0,-0.15,0,0,0.49
100741449,0.04,0,-0.2,0,0,0.5
100753719,0.03,-0.01,-0.17,0,0,0.49
100763722,0.02,0,-0.17,0,0,0.5
100776198,0.04,-0.01,-0.14,2.5,5.6,0.51
100787323,0.04,-0.01,-0.18,2.5,5.6,0.51
100801496,0.03,0,-0.16,2.5,5.6,0.49
100811499,0.03,0,-0.17,2.5,5.6,0.5
100821502,0.04,0,-0.16,2.5,5.6,0.5
100831504,0.03,0,-0.18,2.5,5.6,0.49
100841508,0.04,0,-0.17,2.5,5.6,0.5
100851523,0.04,-0.01,-0.22,2.5,5.6,0.51
100861527,0.02,0,-0.19,2.5,5.6,0.49
100871530,0.03,-0.01,-0.17,2.5,5.6,0.5
100881533,0.03,0,-0.18,2.5,5.6,0.49
100891538,0.02,0,-0.2,2.5,5.6,0.49
100901543,0.02,0,-0.16,2.5,5.6,0.48
100911548,0.06,0,-0.16,2.5,5.6,0.5
100921551,0.03,0,-0.18,2.5,5.6,0.49
100932132,0.02,-0.01,-0.16,2.5,5.6,0.48
100942135,0.02,0.01,-0.19,2.5,5.6,0.48
100952137,0.03,0,-0.19,2.5,5.6,0.49
100962142,0.02,-0.02,-0.15,2.5,5.6,0.5
100976083,0.03,0,-0.19,2.5,5.6,0.49
100987721,0.02,0,-0.19,2.5,5.6,0.48
100999501,0.02,0,-0.17,2.5,5.6,0.5
101012427,0.04,0,-0.17,2.5,5.6,0.5
101022429,0.03,-0.01,-0.18,2.5,5.6,0.51
101032432,0.03,-0.01,-0.16,2.5,5.6,0.51
101042437,0.03,0,-0.18,2.5,5.6,0.49
101054369,0.03,0,-0.18,2.5,5.6,0.5
101064374,0.02,0,-0.16,2.5,5.6,0.5
101074877,0.04,-0.01,-0.17,2.5,5.6,0.5
101084881,0.02,-0.01,-0.16,2.5,5.6,0.5
101094885,0.05,0,-0.19,2.5,5.6,0.48
101104887,0.05,0,-0.17,2.5,5.6,0.49
101116504,0.04,0,-0.17,2.5,5.6,0.5
101126507,0.02,-0.01,-0.16,2.5,5.6,0.49
101139516,0.02,0,-0.18,2.5,5.6,0.48
101150722,0.02,0,-0.18,2.5,5.6,0.5
101163396,0.02,0,-0.18,2.5,5.6,0.49
101173399,0.04,0,-0.17,2.5,5.6,0.5
101185123,0.03,-0.01,-0.17,2.5,5.6,0.5
101195126,0.02,0,-0.18,2.5,5.6,0.49
101205746,0.04,0,-0.17,2.5,5.6,0.5
101215750,0.07,-0.01,-0.17,2.5,5.6,0.5
101225753,0.03,0,-0.19,2.5,5.6,0.48
101235757,0.03,-0.01,-0.2,2.5,5.6,0.51
101245761,0.04,-0.01,-0.2,2.5,5.6,0.48
101255765,0.01,0,-0.17,2.5,5.6,0.49
101265769,0.01,0,-0.2,2.5,5.6,0.5
101275772,0.03,0,-0.16,2.5,5.6,0.48
101285775,0.05,0,-0.16,2.5,5.6,0.49
101295778,0.02,0,-0.19,2.5,5.6,0.49
101306647,0.01,-0.01,-0.19,2.5,5.6,0.5
101316651,0.05,-0.01,-0.18,2.5,5.6,0.5
101329833,0.03,0,-0.18,2.5,5.6,0.49
101341058,0.04,-0.01,-0.17,2.5,5.6,0.49
101351605,0.06,0,-0.15,2.5,5.6,0.49
101361962,0.04,0,-0.17,2.5,5.6,0.49
101372250,0.04,0,-0.17,2.5,5.6,0.48
101382253,0.05,-0.01,-0.18,2.5,5.6,0.5
101392257,0.03,0,-0.17,2.5,5.6,0.5
101402321,0.03,0,-0.18,2.5,5.6,0.5
101412625,0.04,0,-0.17,2.5,5.6,0.5
101422635,0.01,-0.01,-0.16,2.5,5.6,0.5
101432639,0.01,-0.01,-0.17,2.5,5.6,0.49
101443282,0.03,0,-0.19,2.5,5.6,0.49
101453286,0.03,0,-0.19,2.5,5.6,0.49
101464668,0.03,0,-0.16,2.5,5.6,0.49
101474672,0.04,-0.01,-0.16,2.5,5.6,0.49
101485732,0.05,0,-0.15,2.5,5.6,0.49
101495734,0.02,-0.01,-0.19,2.5,5.6,0.5
101507727,0.01,-0.01,-0.19,2.5,5.6,0.5
101518034,0.03,-0.01,-0.18,2.5,5.6,0.47
101528037,0.02,0,-0.17,2.5,5.6,0.49
101538556,0.02,-0.02,-0.17,2.5,5.6,0.49
101552276,0.03,-0.02,-0.19,2.5,5.6,0.5
101562471,0.02,0.01,-0.17,2.5,5.6,0.5
101576735,0.02,0,-0.18,2.5,5.6,0.5
101586739,0.05,0,-0.17,2.5,5.6,0.48
101599613,0.03,0.01,-0.2,2.5,5.6,0.49
101611500,0.01,0,-0.19,2.5,5.6,0.49
101626004,0.02,-0.01,-0.15,2.5,5.6,0.49
101636008,0.01,0,-0.15,2.5,5.6,0.49
101646010,0.03,0,-0.19,2.5,5.6,0.49
101656013,0.04,0,-0.19,2.5,5.6,0.48
101667035,0.03,0,-0.18,2.5,5.6,0.51
101677038,0.03,0,-0.19,2.5,5.6,0.47
101688457,0.03,-0.01,-0.18,2.5,5.6,0.5
101699036,0.03,-0.01,-0.19,2.5,5.6,0.49
101710358,0.03,0,-0.19,2.5,5.6,0.5
101722121,0.03,-0.01,-0.18,2.5,5.6,0.49
101732849,0.03,0,-0.18,2.5,5.6,0.5
101743018,0.02,0,-0.19,2.5,5.6,0.49
101753721,0.03,-0.01,-0.19,2.5,5.6,0.48
101763723,0.04,0,-0.15,2.5,5.6,0.49
101774020,0.03,-0.01,-0.16,2.5,5.6,0.5
101784049,0.03,-0.01,-0.17,2.5,5.6,0.5
101794301,0.04,0,-0.19,2.5,5.6,0.49
101804305,0.01,0,-0.19,2.5,5.6,0.49
101814308,0.02,0.01,-0.17,2.5,5.6,0.49
101824379,0.02,-0.01,-0.16,2.5,5.6,0.49
101835106,0.03,-0.01,-0.14,2.5,5.6,0.49
101845111,0.04,-0.01,-0.2,2.5,5.6,0.49
101856184,0.03,0,-0.18,2.5,5.6,0.49
101866188,0.04,0.01,-0.17,2.5,5.6,0.49
101878657,0.02,0,-0.15,2.5,5.6,0.5
101888981,0.03,-0.03,-0.16,2.5,5.6,0.49
101902713,0.04,-0.01,-0.19,2.5,5.6,0.48
101913253,0.03,0,-0.18,2.5,5.6,0.5
101924622,0.03,0,-0.17,2.5,5.6,0.5
101934627,0.04,0,-0.18,2.5,5.6,0.5
101944631,0.01,-0.02,-0.19,2.5,5.6,0.5
101956166,0.02,-0.01,-0.19,2.5,5.6,0.51
101966171,0.03,-0.01,-0.17,2.5,5.6,0.52
101978221,0.04,-0.01,-0.16,2.5,5.6,0.51
101988224,0.03,0.01,-0.14,2.5,5.6,0.5
102000671,0.01,-0.01,-0.18,2.5,5.6,0.51
102012822,0.01,-0.01,-0.18,2.5,5.6,0.49
102027835,0.03,0,-0.17,2.5,5.6,0.5
102037838,0.02,-0.01,-0.19,2.5,5.6,0.5
102050635,0.05,0,-0.19,2.5,5.6,0.51
102062520,0.05,0,-0.18,2.5,5.6,0.49
102077155,0.03,-0.01,-0.19,2.5,5.6,0.49
102087160,0.02,-0.01,-0.15,2.5,5.6,0.5
102097416,0.05,0,-0.18,2.5,5.6,0.51
102107420,0.03,0.01,-0.19,2.5,5.6,0.49
102118617,0.02,0,-0.19,2.5,5.6,0.5
102128620,0.03,0,-0.19,2.5,5.6,0.52
102141712,0.05,0,-0.17,2.5,5.6,0.5
102153109,0.03,0,-0.16,2.5,5.6,0.5
102167454,0.03,-0.01,-0.15,2.5,5.6,0.51
102177458,0.02,0,-0.18,2.5,5.6,0.51
102189934,0.04,0,-0.19,2.5,5.6,0.5
102200516,0.03,0,-0.2,2.5,5.6,0.51
102215717,0.02,-0.01,-0.17,2.5,5.6,0.49
102225719,0.03,0,-0.19,2.5,5.6,0.51
102237788,0.04,0,-0.17,2.5,5.6,0.5
102247790,0.04,-0.01,-0.19,2.5,5.6,0.5
102258689,0.03,-0.01,-0.2,2.5,5.6,0.51
102268691,0.02,0,-0.16,2.5,5.6,0.51
102279233,0.03,0,-0.18,2.5,5.6,0.49
102289236,0.02,0,-0.12,2.5,5.6,0.52
102299240,0.03,-0.01,-0.17,2.5,5.6,0.51
102309478,0.03,0,-0.17,2.5,5.6,0.51
102319482,0.02,0,-0.17,2.5,5.6,0.49
102329484,0.01,-0.01,-0.18,2.5,5.6,0.5
102339489,0.03,0,-0.18,2.5,5.6,0.5
102349492,0.04,0,-0.18,2.5,5.6,0.51
102359495,0.04,0,-0.16,2.5,5.6,0.49
