Time,xAcc,yAcc,zAcc,latitude,longitude,alt
59175613,-0.02,0,-0.18,0,0,0.57
59185617,-0.01,0,-0.18,0,0,0.58
59196596,-0.02,0.02,-0.2,0,0,0.57
59206599,0,0,-0.15,0,0,0.58
59219980,-0.02,0,-0.18,0,0,0.58
59235796,-0.03,0.01,-0.17,0,0,0.57
59248330,-0.07,0,-0.18,0,0,0.58
59258333,-0.05,0.03,-0.13,0,0,0.51
59271566,-0.01,0,-0.21,0,0,0.5
59282146,-0.05,0,-0.21,0,0,0.49
59296006,-0.02,-0.01,-0.15,0,0,0.52
59306011,0.01,0,-0.17,0,0,0.51
59318463,-0.03,0.02,-0.16,0,0,0.51
59329405,-0.01,-0.01,-0.18,0,0,0.51
59343349,-0.03,0,-0.18,0,0,0.51
59353353,-0.04,-0.01,-0.17,0,0,0.51
59367548,0,0.01,-0.18,0,0,0.5
59378683,-0.03,0,-0.18,0,0,0.51
59389767,-0.04,0,-0.17,0,0,0.51
59402878,-0.02,0,-0.16,0,0,0.52
59412882,-0.07,0.01,-0.16,0,0,0.51
59424717,0,0,-0.19,0,0,0.5
59434720,0,0,-0.18,0,0,0.5
59448366,-0.04,0.02,-0.2,0,0,0.52
59461381,0.01,0,-0.18,0,0,0.51
59472435,-0.04,0.02,-0.19,0,0,0.51
59486362,-0.01,-0.01,-0.17,0,0,0.51
59496365,0.01,0.03,-0.19,0,0,0.53
59506769,-0.03,0.01,-0.18,0,0,0.53
59516773,-0.04,0,-0.16,0,0,0.54
59526776,0,0.01,-0.19,0,0,0.53
59536778,-0.02,0.01,-0.16,0,0,0.53
59546782,-0.03,0,-0.17,0,0,0.53
59556784,-0.01,0,-0.19,0,0,0.52
59568051,0,0.03,-0.19,0,0,0.52
59578054,-0.05,0,-0.17,0,0,0.54
59591889,-0.02,0.02,-0.18,0,0,0.53
59604943,-0.04,0,-0.17,0,0,0.51
59614948,-0.01,0,-0.16,0,0,0.5
59624951,0.01,0,-0.19,0,0,0.51
