Time,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed
69917200,0.02,0,-0.18,0,0,0.52,-10000,-10000,-14.5
69927203,0.02,0,-0.17,0,0,0.5,-10000,-10000,-14.5
69937207,0,-0.03,-0.19,0,0,0.5,-10000,-10000,-14.5
69947366,0,0,-0.18,0,0,0.52,-10000,-10000,-14.5
69958447,0,-0.01,-0.22,0,0,0.52,-10000,-10000,-14.5
69968450,0,-0.02,-0.18,0,0,0.52,-10000,-10000,-14.5
69981036,0,0.01,-0.18,0,0,0.5,-10000,-10000,-14.5
69991041,0,0.01,-0.18,0,0,0.52,-10000,-10000,-14.5
70007057,0,0.01,-0.22,0,0,0.5,-10000,-10000,-14.5
70017060,0.02,0.01,-0.19,0,0,0.52,-10000,-10000,-14.5
70027224,0.02,0,-0.2,0,0,0.5,-10000,-10000,-14.5
70037228,0,-0.01,-0.17,0,0,0.52,-10000,-10000,-14.5
70047232,0.02,0,-0.19,0,0,0.52,-10000,-10000,-14.5
70057452,0,-0.01,-0.21,0,0,0.52,-10000,-10000,-14.5
70067781,0,-0.03,-0.2,0,0,0.5,-10000,-10000,-14.5
70081382,0.03,0,-0.15,0,0,0.52,-10000,-10000,-14.5
70091386,0.02,-0.02,-0.19,0,0,0.52,-10000,-10000,-14.5
70107656,0,0,-0.22,0,0,0.52,-10000,-10000,-14.5
70117658,-0.02,-0.02,-0.19,0,0,0.5,-10000,-10000,-14.5
70129552,0.01,-0.01,-0.17,0,0,0.5,-10000,-10000,-14.5
70139554,0.01,0.02,-0.17,0,0,0.52,-10000,-10000,-14.5
70152112,0,-0.02,-0.18,0,0,0.51,-10000,-10000,-14.5
70164322,0.01,0,-0.2,0,0,0.51,-10000,-10000,-14.5
70178762,0,0,-0.17,0,0,0.52,-10000,-10000,-14.5
70188765,0.02,0,-0.17,0,0,0.52,-10000,-10000,-14.5
70201118,0.02,0.02,-0.18,0,0,0.52,-10000,-10000,-14.5
70211826,0,0,-0.2,0,0,0.52,-10000,-10000,-14.5
70227280,0,0.01,-0.19,0,0,0.51,-10000,-10000,-14.5
70238011,-0.01,-0.03,-0.19,0,0,0.52,-10000,-10000,-14.5
70251052,-0.01,-0.02,-0.17,0,0,0.51,-10000,-10000,-14.5
70261558,0.02,0.01,-0.19,0,0,0.5,-10000,-10000,-14.5
70275511,0.01,0,-0.18,0,0,0.5,-10000,-10000,-14.5
70286844,0.03,0.01,-0.2,0,0,0.53,-10000,-10000,-14.5
70298496,0.01,0.02,-0.19,0,0,0.5,-10000,-10000,-14.5
70308499,0.01,-0.03,-0.21,0,0,0.52,-10000,-10000,-14.5
70320691,0.01,0.01,-0.19,0,0,0.51,-10000,-10000,-14.5
70330695,0,0,-0.18,0,0,0.52,-10000,-10000,-14.5
70342531,-0.01,-0.01,-0.17,0,0,0.51,-10000,-10000,-14.5
70354978,0,0,-0.2,0,0,0.53,-10000,-10000,-14.5
70369717,-0.01,-0.02,-0.18,0,0,0.51,-10000,-10000,-14.5
70379720,0.01,0,-0.18,0,0,0.52,-10000,-10000,-14.5
70393598,0,0,-0.2,0,0,0.51,-10000,-10000,-14.5
70410344,0.02,0.01,-0.17,0,0,0.52,-10000,-10000,-14.5
70420348,0.02,0.01,-0.21,0,0,0.52,-10000,-10000,-14.5
70433680,-0.01,-0.03,-0.18,0,0,0.51,-10000,-10000,-14.5
70443684,0.02,0,-0.17,0,0,0.5,-10000,-10000,-14.5
70459795,-0.02,-0.02,-0.19,0,0,0.52,-10000,-10000,-14.5
70469798,0.03,0.02,-0.22,0,0,0.52,-10000,-10000,-14.5
70483803,0.04,0.01,-0.19,0,0,0.52,-10000,-10000,-14.5
70497699,0.02,0.02,-0.18,0,0,0.5,-10000,-10000,-14.5
70507929,0.02,0,-0.2,0,0,0.51,-10000,-10000,-14.5
70518257,-0.03,-0.04,-0.17,0,0,0.52,-10000,-10000,-14.5
70532203,0,-0.01,-0.19,0,0,0.51,-10000,-10000,-14.5
70542215,0.03,0,-0.21,0,0,0.51,-10000,-10000,-14.5
70557832,0,0.02,-0.17,0,0,0.51,-10000,-10000,-14.5
70572926,0.03,0.01,-0.22,0,0,0.49,-10000,-10000,-14.5
70587763,0,-0.01,-0.18,0,0,0.52,-10000,-10000,-14.5
70598519,0.04,0.02,-0.21,0,0,0.51,-10000,-10000,-14.5
70610469,0.01,-0.02,-0.19,0,0,0.5,-10000,-10000,-14.5
70620473,0,0.01,-0.18,0,0,0.5,-10000,-10000,-14.5
70632931,0.03,0,-0.17,0,0,0.49,-10000,-10000,-14.5
70642934,0.01,-0.03,-0.21,0,0,0.51,-10000,-10000,-14.5
70654621,-0.01,-0.03,-0.18,0,0,0.49,-10000,-10000,-14.5
70668553,0.01,-0.01,-0.22,0,0,0.51,-10000,-10000,-14.5
70678721,0,0.01,-0.2,0,0,0.51,-10000,-10000,-14.5
70689039,0.01,0,-0.17,0,0,0.51,-10000,-10000,-14.5
