Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,cP,cR,cYI
452602774,-0.06,6.12,173.50,0.19,14.19,-1.12,-0.02,-0.33,-0.19,4713.45,849.14,1.28,0.00,0.00,0.00
452613935,0.00,6.12,173.50,-0.19,14.38,-1.25,0.08,-0.30,-0.19,4713.45,849.14,1.29,0.00,0.00,0.00
452623937,0.12,6.12,173.50,-0.62,14.44,-1.25,0.25,-0.16,-0.21,4713.45,849.14,1.28,0.00,0.00,0.00
452636743,0.44,6.12,173.50,-1.56,14.19,-0.75,0.27,-0.01,-0.25,4713.45,849.14,1.31,0.00,0.00,0.00
452646748,0.56,6.19,173.50,-1.44,14.12,-0.12,0.33,0.08,-0.23,4713.45,849.14,1.31,0.00,0.00,0.00
452657734,0.69,6.19,173.50,-1.19,13.69,0.06,0.21,0.17,-0.25,4713.45,849.14,1.31,0.00,0.00,-0.00
452667737,0.81,6.19,173.50,-0.62,13.19,-0.19,0.30,0.28,-0.34,4713.45,849.14,1.31,0.00,0.00,0.00
452677740,0.94,6.19,173.50,-0.06,13.00,-0.56,0.17,0.13,-0.35,4713.45,849.14,1.30,0.00,0.00,0.00
452687744,1.06,6.19,173.50,0.25,12.56,-1.00,0.23,0.01,-0.34,4713.45,849.14,1.30,0.00,0.00,0.00
452697747,1.19,6.19,173.50,0.50,12.38,-1.62,0.29,-0.07,-0.27,4713.45,849.14,1.30,0.00,0.00,0.00
452707749,1.31,6.19,173.50,0.44,11.94,-1.94,0.25,-0.15,-0.25,4713.45,849.14,1.30,0.00,0.00,0.00
452717753,1.44,6.19,173.44,0.56,11.38,-2.12,0.27,-0.11,-0.28,4713.45,849.14,1.30,0.00,0.00,0.00
452727757,1.56,6.19,173.44,0.38,11.19,-2.38,0.19,-0.04,-0.25,4713.45,849.14,1.30,0.00,0.00,0.00
452737762,1.69,6.19,173.44,0.50,11.00,-1.75,0.16,-0.01,-0.22,4713.45,849.14,1.32,0.00,0.00,0.00
452747764,1.75,6.19,173.44,0.81,11.00,-1.38,0.10,-0.15,-0.17,4713.45,849.14,1.31,0.00,0.00,0.00
452759282,1.88,6.12,173.44,0.69,10.88,-0.94,0.16,-0.26,-0.15,4713.45,849.14,1.31,0.00,0.00,0.00
452769285,2.00,6.12,173.44,0.44,11.06,-0.62,0.02,-0.37,-0.12,4713.45,849.14,1.32,0.00,0.00,0.00
452781806,2.12,6.12,173.44,0.19,11.12,-0.88,-0.10,-0.37,-0.17,4713.45,849.14,1.31,0.00,0.00,0.00
452793255,2.25,6.12,173.44,0.00,11.38,-1.12,-0.09,-0.36,-0.12,4713.45,849.14,1.31,0.00,0.00,0.00
452804583,2.31,6.12,173.38,-0.19,11.56,-1.44,-0.13,-0.16,-0.19,4713.45,849.14,1.31,0.00,0.00,0.00
452814588,2.44,6.12,173.38,-0.12,11.75,-1.75,-0.19,0.01,-0.21,4713.45,849.14,1.31,0.00,0.00,0.00
452824592,2.56,6.12,173.38,0.00,12.06,-1.94,-0.20,0.15,-0.20,4713.45,849.14,1.31,0.00,0.00,0.00
452834914,2.69,6.12,173.38,0.06,12.44,-1.88,-0.18,-0.00,-0.14,4713.45,849.14,1.31,0.00,0.00,0.00
452844917,2.81,6.12,173.38,0.38,13.12,-1.94,-0.15,-0.24,-0.11,4713.45,849.14,1.32,0.00,0.00,0.00
452855196,2.94,6.12,173.31,0.69,13.50,-2.75,-0.15,-0.24,-0.11,4713.45,849.14,1.32,0.00,0.00,0.00
452865199,3.06,6.12,173.31,0.50,13.75,-3.00,0.00,-0.28,-0.08,4713.45,849.14,1.31,0.00,0.00,0.00
452875202,3.19,6.12,173.31,0.12,13.69,-3.56,0.05,-0.17,-0.18,4713.45,849.14,1.31,0.00,0.00,0.00
452885212,3.38,6.12,173.25,0.06,13.62,-3.44,0.03,-0.10,-0.19,4713.45,849.14,1.32,0.00,0.00,0.00
452895215,3.50,6.12,173.25,0.25,13.50,-3.00,0.00,-0.02,-0.25,4713.45,849.14,1.31,0.00,0.00,0.00
452905218,3.62,6.12,173.25,0.44,13.62,-2.44,0.00,-0.02,-0.25,4713.45,849.14,1.31,0.00,0.00,0.00
452915221,3.75,6.12,173.19,0.62,13.50,-2.31,-0.04,-0.06,-0.21,4713.45,849.14,1.31,0.00,0.00,0.00
452925224,3.88,6.12,173.19,0.88,13.75,-2.12,0.12,-0.12,-0.27,4713.45,849.14,1.31,0.00,0.00,0.00
452935274,4.00,6.12,173.19,0.81,13.75,-2.00,0.37,-0.36,-0.21,4713.45,849.14,1.31,0.00,0.00,0.00
452945282,4.19,6.06,173.19,0.88,13.75,-1.88,0.49,-0.29,-0.16,4713.45,849.14,1.32,0.00,0.00,0.00
452956095,4.31,6.06,173.19,0.56,13.81,-1.75,0.49,-0.29,-0.16,4713.45,849.14,1.32,0.00,0.00,0.00
452966099,4.44,6.06,173.12,0.25,13.75,-1.31,0.45,-0.22,-0.18,4713.45,849.14,1.31,0.00,0.00,0.00
452976104,4.56,6.06,173.12,-0.19,13.31,-1.00,0.18,-0.29,-0.18,4713.45,849.14,1.31,0.00,0.00,0.00
452986298,4.69,6.06,173.12,-0.94,12.44,-1.69,0.26,-0.35,-0.16,4713.45,849.14,1.32,0.00,0.00,0.00
452996302,4.81,6.12,173.12,-0.94,12.44,-1.69,0.36,-0.31,-0.16,4713.45,849.14,1.31,0.00,0.00,0.00
453007543,4.94,6.06,173.12,-1.50,12.31,-2.06,0.54,-0.19,-0.17,4713.45,849.14,1.31,0.00,0.00,0.00
453017547,5.12,6.06,173.12,-1.75,11.75,-2.44,0.49,-0.10,-0.25,4713.45,849.14,1.32,0.00,0.00,0.00
453027551,5.25,6.12,173.06,-2.19,10.69,-1.94,0.45,-0.08,-0.27,4713.45,849.14,1.32,0.00,0.00,0.00
453037554,5.31,6.12,173.06,-2.31,10.31,-1.69,0.46,-0.19,-0.18,4713.45,849.14,1.32,0.00,0.00,0.00
453047569,5.44,6.12,173.06,-2.44,10.12,-1.44,0.38,-0.28,-0.15,4713.45,849.14,1.32,0.00,0.00,0.00
453058603,5.62,6.19,173.00,-2.75,9.62,-1.62,0.27,-0.19,-0.20,4713.45,849.14,1.31,0.00,0.00,0.00
453068605,5.62,6.19,173.00,-3.00,9.56,-1.88,0.38,-0.13,-0.19,4713.45,849.14,1.32,0.00,0.00,0.00
453079243,5.88,6.19,173.00,-3.06,9.06,-2.31,0.35,-0.02,-0.24,4713.45,849.14,1.31,0.00,0.00,0.00
453089247,6.00,6.25,172.94,-2.88,8.69,-2.56,0.23,0.04,-0.23,4713.45,849.14,1.31,0.00,0.00,0.00
453099250,6.06,6.25,172.94,-2.62,8.12,-2.81,0.33,0.10,-0.24,4713.45,849.14,1.31,0.00,0.00,0.00
453109253,6.12,6.25,172.94,-2.38,7.69,-3.00,0.24,0.01,-0.18,4713.45,849.14,1.31,0.00,0.00,0.00
453119256,6.25,6.31,172.88,-2.25,7.38,-3.06,0.04,-0.04,-0.21,4713.45,849.14,1.32,0.00,0.00,0.00
